Daily means        Year 1990                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
16,80,158,204,350,490,302,2080,528,359,365,215,283,,,,,,,,,,,,,,,,,,,
17,74,159,209,329,663,298,1703,449,334,356,204,278,,,,,,,,,,,,,,,,,,,
18,75,163,188,317,480,274,1138,427,313,355,242,271,,,,,,,,,,,,,,,,,,,
19,67,172,212,317,450,262,756,414,304,355,369,259,,,,,,,,,,,,,,,,,,,
20,59,191,192,325,439,253,1517,411,290,349,544,250,,,,,,,,,,,,,,,,,,,
21,64,212,187,587,428,244,1213,460,282,347,281,255,,,,,,,,,,,,,,,,,,,
22,56,204,189,352,516,244,893,717,273,344,277,239,,,,,,,,,,,,,,,,,,,
23,52,223,197,330,1479,322,741,523,261,330,613,226,,,,,,,,,,,,,,,,,,,
24,65,213,191,317,971,458,657,492,253,314,384,211,,,,,,,,,,,,,,,,,,,
25,62,212,190,316,844,1164,613,477,241,304,385,203,,,,,,,,,,,,,,,,,,,
26,65,204,188,314,1470,1691,1795,462,233,300,384,186,,,,,,,,,,,,,,,,,,,
27,64,205,190,314,901,1053,1350,415,226,297,383,178,,,,,,,,,,,,,,,,,,,
28,63,207,201,315,695,666,919,421,221,292,374,174,,,,,,,,,,,,,,,,,,,
29,64,210,206,309,615,545,742,588,217,284,381,174,,,,,,,,,,,,,,,,,,,
30,61,        ,214,313,566,733,753,511,209,277,365,179,,,,,,,,,,,,,,,,,,,
31,54,        ,239,        ,528,        ,661,496,        ,269,        ,244,,,,,,,,,,,,,,,,,,,
Min ,52,54,187,309,247,244,490,411,209,168,194,174,52,,,,,,,,,,,,,,,,,,
Mean,72,146,208,608,536,464,985,519,358,308,297,281,400,,,,,,,,,,,,,,,,,,
Max ,98,223,239,2132,1479,1691,2080,717,477,996,613,438,2132,,,,,,,,,,,,,,,,,,
Daily means        Year 1997                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,175,166,99,322,395,145,977,309,454,653,311,269,,,,,,,,,,,,,,,,,,,
2,176,163,89,314,380,243,2007,315,440,517,302,255,,,,,,,,,,,,,,,,,,,
3,174,160,90,306,364,1882,1475,294,441,471,295,450,,,,,,,,,,,,,,,,,,,
4,179,169,94,302,347,660,1644,305,420,468,288,308,,,,,,,,,,,,,,,,,,,
5,205,168,100,298,333,541,1165,343,398,1122,286,269,,,,,,,,,,,,,,,,,,,
6,196,160,1947,298,326,394,799,310,380,1397,276,266,,,,,,,,,,,,,,,,,,,
7,182,157,952,293,322,371,598,298,373,1242,267,263,,,,,,,,,,,,,,,,,,,
8,175,151,742,286,319,370,538,283,363,804,268,259,,,,,,,,,,,,,,,,,,,
9,176,148,842,356,311,368,514,271,354,616,260,255,,,,,,,,,,,,,,,,,,,
10,177,144,472,297,301,363,569,262,344,632,253,254,,,,,,,,,,,,,,,,,,,
11,189,140,354,281,291,354,548,257,336,920,231,257,,,,,,,,,,,,,,,,,,,
12,194,139,345,272,282,344,507,251,332,592,224,255,,,,,,,,,,,,,,,,,,,
13,191,134,345,269,273,326,486,250,317,522,388,253,,,,,,,,,,,,,,,,,,,
14,204,128,343,270,265,308,630,302,304,630,260,251,,,,,,,,,,,,,,,,,,,
15,215,119,342,257,252,291,687,331,292,1790,237,248,,,,,,,,,,,,,,,,,,,
16,223,109,338,294,240,282,550,307,281,914,235,243,,,,,,,,,,,,,,,,,,,
17,227,106,323,300,232,273,519,298,269,646,230,241,,,,,,,,,,,,,,,,,,,
18,228,108,307,277,220,298,492,299,273,535,229,234,,,,,,,,,,,,,,,,,,,
19,230,133,293,286,211,300,464,303,252,500,224,238,,,,,,,,,,,,,,,,,,,
20,222,136,281,300,201,286,451,314,240,456,227,243,,,,,,,,,,,,,,,,,,,
21,215,117,376,307,191,278,437,309,228,771,227,252,,,,,,,,,,,,,,,,,,,
22,209,109,386,324,189,269,414,315,221,976,229,226,,,,,,,,,,,,,,,,,,,
23,198,107,306,641,185,258,398,644,481,628,231,213,,,,,,,,,,,,,,,,,,,
24,191,107,398,479,180,249,379,942,713,521,238,200,,,,,,,,,,,,,,,,,,,
25,186,106,378,439,168,237,367,582,394,484,247,200,,,,,,,,,,,,,,,,,,,
