Daily means        Year 1990                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
4,114,72,37,16,307,225,540,1101,157,638,316,173,,,,,,,,,,,,,,,,,,,
5,239,64,29,18,323,204,478,647,125,445,394,478,,,,,,,,,,,,,,,,,,,
6,167,56,62,19,632,170,451,732,113,785,516,282,,,,,,,,,,,,,,,,,,,
7,83,50,38,29,427,150,371,663,117,703,448,352,,,,,,,,,,,,,,,,,,,
8,65,613,26,548,367,135,324,912,99,550,330,419,,,,,,,,,,,,,,,,,,,
9,254,361,21,516,643,153,318,701,77,504,261,298,,,,,,,,,,,,,,,,,,,
10,150,326,26,351,438,715,318,529,66,381,218,9975,,,,,,,,,,,,,,,,,,,
11,98,305,19,526,357,1319,272,436,57,324,211,7660,,,,,,,,,,,,,,,,,,,
12,71,207,20,534,303,1002,249,1058,53,264,807,3104,,,,,,,,,,,,,,,,,,,
13,122,160,17,563,265,799,258,1358,62,221,1562,       ?,,,,,,,,,,,,,,,,,,,
14,83,171,15,916,365,608,221,1465,399,178,795,       ?,,,,,,,,,,,,,,,,,,,
15,51,144,16,566,516,484,199,990,325,146,653,861,,,,,,,,,,,,,,,,,,,
16,40,110,873,475,387,408,181,763,290,122,499,602,,,,,,,,,,,,,,,,,,,
17,47,98,159,2563,318,407,186,569,304,106,430,468,,,,,,,,,,,,,,,,,,,
18,47,87,84,2318,268,451,202,468,656,184,479,429,,,,,,,,,,,,,,,,,,,
19,30,80,67,1044,234,677,174,394,1459,543,359,574,,,,,,,,,,,,,,,,,,,
20,22,69,53,760,213,502,199,416,1848,456,292,362,,,,,,,,,,,,,,,,,,,
21,301,61,44,626,194,435,309,335,1261,317,236,696,,,,,,,,,,,,,,,,,,,
22,253,53,40,743,329,434,223,276,969,234,206,486,,,,,,,,,,,,,,,,,,,
23,142,48,37,1035,322,363,311,248,675,186,288,365,,,,,,,,,,,,,,,,,,,
24,101,42,35,599,1119,328,352,224,489,191,199,292,,,,,,,,,,,,,,,,,,,
25,80,35,32,447,2721,292,380,211,382,150,178,221,,,,,,,,,,,,,,,,,,,
26,368,28,30,363,1190,322,389,193,355,118,285,164,,,,,,,,,,,,,,,,,,,
27,769,26,25,287,732,348,321,168,304,1765,182,124,,,,,,,,,,,,,,,,,,,
28,314,24,23,1015,560,349,279,147,1657,1008,381,88,,,,,,,,,,,,,,,,,,,
29,210,        ,21,1024,459,288,236,134,883,629,514,71,,,,,,,,,,,,,,,,,,,
30,161,        ,19,751,428,696,216,123,572,679,390,58,,,,,,,,,,,,,,,,,,,
31,135,        ,17,        ,354,        ,198,111,        ,494,        ,46,,,,,,,,,,,,,,,,,,,
Min ,22,24,15,16,194,135,174,111,53,106,178,46,15,,,,,,,,,,,,,,,,,,
Mean,154,128,63,624,519,436,348,551,476,435,417,1018,429,,,,,,,,,,,,,,,,,,
Max ,769,613,873,2563,2721,1319,1056,1465,1848,1765,1562,9975,9975,,,,,,,,,,,,,,,,,,
Daily means        Year 1990                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,2767,2261,1015,915,8204,1566,5305,2895,2065,1921,6350,3300,,,,,,,,,,,,,,,,,,,
2,2076,1684,933,7441,5114,3370,3359,2231,1774,1356,3637,1896,,,,,,,,,,,,,,,,,,,
3,1991,1314,800,2909,18012,10495,2672,1785,1557,1158,2402,1465,,,,,,,,,,,,,,,,,,,
4,1518,1106,680,1667,7320,7026,2393,1499,3277,2297,3420,1587,,,,,,,,,,,,,,,,,,,
5,20180,939,610,1282,4249,5285,1880,4114,2976,1216,3866,1114,,,,,,,,,,,,,,,,,,,
6,4708,854,551,1066,2998,4256,1589,15052,2547,1044,1890,812,,,,,,,,,,,,,,,,,,,
7,2859,1650,509,943,6269,3036,1865,55262,1858,9981,1385,704,,,,,,,,,,,,,,,,,,,
8,2142,2586,473,884,4667,16245,3754,47606,1694,2830,1093,696,,,,,,,,,,,,,,,,,,,
9,2102,1069,16480,3293,4005,8197,9864,11105,1496,1852,863,1836,,,,,,,,,,,,,,,,,,,
10,2083,965,56998,2318,2754,5072,6293,6307,1316,1512,722,2036,,,,,,,,,,,,,,,,,,,
11,1445,783,10672,1379,2153,8558,4070,12649,1220,16266,582,1045,,,,,,,,,,,,,,,,,,,
12,1306,690,50098,1053,1960,5822,2886,15633,1146,51242,1621,3802,,,,,,,,,,,,,,,,,,,
13,1379,710,79934,922,1679,3544,7941,18164,997,13954,3212,4726,,,,,,,,,,,,,,,,,,,
14,2988,611,15985,815,1648,2662,3336,28992,928,5085,2153,3354,,,,,,,,,,,,,,,,,,,
15,2893,531,6753,748,1956,2124,2467,29434,3916,3739,1481,7298,,,,,,,,,,,,,,,,,,,
16,1656,526,4508,8688,1347,1772,4684,9432,2708,2811,956,3767,,,,,,,,,,,,,,,,,,,
17,36954,506,3255,5812,1193,4070,6083,16534,1456,2180,747,2196,,,,,,,,,,,,,,,,,,,
18,15345,479,2511,3482,1048,2274,4546,8679,1348,1810,607,1490,,,,,,,,,,,,,,,,,,,
19,4279,862,2061,2303,981,3362,4286,5108,1147,1543,836,10212,,,,,,,,,,,,,,,,,,,
20,2747,20578,4667,1977,3093,5993,2949,3889,993,1334,639,13304,,,,,,,,,,,,,,,,,,,
21,2048,3195,3466,1843,3635,4561,2359,3186,881,1157,2181,4391,,,,,,,,,,,,,,,,,,,
22,1622,1675,2280,1660,1927,3546,29900,2577,811,1181,2328,3765,,,,,,,,,,,,,,,,,,,
23,1438,1210,1866,1321,5476,2863,8653,29035,887,1007,1287,2463,,,,,,,,,,,,,,,,,,,
24,1227,949,1613,10384,3989,2097,4481,12523,2515,941,1172,1837,,,,,,,,,,,,,,,,,,,
25,1057,3329,1366,17036,61064,1855,3131,6038,2630,844,7726,3217,,,,,,,,,,,,,,,,,,,
26,893,1250,1189,6408,10703,1791,3314,35523,1920,747,3587,2337,,,,,,,,,,,,,,,,,,,
27,832,3203,1030,4333,8443,8768,3442,9847,1224,670,14303,1442,,,,,,,,,,,,,,,,,,,
28,813,1343,947,4815,4300,11641,4114,5853,1004,659,17243,2207,,,,,,,,,,,,,,,,,,,
29,8195,        ,904,13063,2962,4069,9742,4160,888,642,4199,7730,,,,,,,,,,,,,,,,,,,
30,27183,        ,2894,5414,2271,17031,8870,3182,1411,616,2715,3618,,,,,,,,,,,,,,,,,,,
31,3793,        ,1196,        ,1842,        ,4074,2537,        ,39215,        ,2209,,,,,,,,,,,,,,,,,,,
Min ,813,479,473,748,981,1566,1589,1499,811,616,582,696,473,,,,,,,,,,,,,,,,,,
Mean,5242,2031,8976,3872,6041,5432,5300,13253,1686,5575,3173,3286,5369,,,,,,,,,,,,,,,,,,
Max ,36954,20578,79934,17036,61064,17031,29900,55262,3916,51242,17243,13304,79934,,,,,,,,,,,,,,,,,,
Daily means        Year 1991                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,1526,2804,3918,3604,4861,1381,2008,14703,1129,15529,1574,2558,,,,,,,,,,,,,,,,,,,
2,4368,21265,2635,2031,3707,2808,2190,7899,1036,4754,1389,14325,,,,,,,,,,,,,,,,,,,
3,2000,5540,5442,2145,2879,1230,1744,4603,6471,4784,3712,5193,,,,,,,,,,,,,,,,,,,
4,1413,3554,3193,7726,2669,1021,1570,3255,7709,3324,5973,5848,,,,,,,,,,,,,,,,,,,
5,1089,2716,2206,18737,2878,3504,1346,3007,2714,2956,10778,2903,,,,,,,,,,,,,,,,,,,
6,959,2634,1744,19893,2182,17781,1217,37682,1888,2196,4952,2749,,,,,,,,,,,,,,,,,,,
7,5669,3184,1492,5549,1875,3479,1112,52186,1500,3306,2799,7979,,,,,,,,,,,,,,,,,,,
8,7157,1868,1292,11838,1599,3046,1026,11040,1262,5540,2028,2770,,,,,,,,,,,,,,,,,,,
9,4348,1542,1115,10204,1412,2875,1638,21891,1100,48515,2221,3054,,,,,,,,,,,,,,,,,,,
10,2908,1370,987,48079,1262,5022,1128,16001,1050,10175,2138,1942,,,,,,,,,,,,,,,,,,,
11,1912,1219,923,23588,1195,3543,965,7367,959,4820,3567,1539,,,,,,,,,,,,,,,,,,,
12,1397,1108,880,6763,1054,2474,887,4402,848,3189,18838,1405,,,,,,,,,,,,,,,,,,,
13,1045,1895,784,4192,961,1886,839,7472,777,7460,22963,1986,,,,,,,,,,,,,,,,,,,
14,836,3207,746,3003,896,1520,793,6648,1926,6652,8131,1153,,,,,,,,,,,,,,,,,,,
15,2589,1724,1262,2332,838,1289,751,7320,1565,3178,4302,1068,,,,,,,,,,,,,,,,,,,
16,41619,7393,1863,2341,798,1135,715,3819,2459,2621,2923,1105,,,,,,,,,,,,,,,,,,,
17,14914,46386,936,3927,1385,4641,690,14585,1613,2485,2150,974,,,,,,,,,,,,,,,,,,,
18,4211,29411,783,2420,1076,8011,3800,17084,1343,6162,1703,795,,,,,,,,,,,,,,,,,,,
19,2450,6476,721,2309,872,2910,3120,6379,6734,3261,1503,672,,,,,,,,,,,,,,,,,,,
20,1718,3923,713,9641,772,2128,1755,5434,27642,2100,1246,681,,,,,,,,,,,,,,,,,,,
21,1712,2746,682,6915,725,1696,7478,4301,8077,1698,12885,80861,,,,,,,,,,,,,,,,,,,
22,1109,2105,607,3098,685,1419,22163,15293,4194,1354,2705,70283,,,,,,,,,,,,,,,,,,,
23,753,1659,567,3714,659,3347,30053,7822,7039,1163,3407,22306,,,,,,,,,,,,,,,,,,,
24,16296,1408,544,6752,642,5967,10943,15537,19311,3055,3070,6582,,,,,,,,,,,,,,,,,,,
25,35029,1779,522,27865,615,6296,29970,5141,6515,1351,1725,4048,,,,,,,,,,,,,,,,,,,
26,5584,1189,513,18180,602,3384,22618,3465,3888,1099,1406,2898,,,,,,,,,,,,,,,,,,,
27,3787,10463,507,9608,661,2767,5684,2568,4719,957,1171,2197,,,,,,,,,,,,,,,,,,,
28,5345,2567,492,16958,2104,7817,3662,2023,2855,5510,4384,8547,,,,,,,,,,,,,,,,,,,
29,5401,        ,1400,10597,1293,3259,3361,1661,2647,5765,8469,3907,,,,,,,,,,,,,,,,,,,
30,5731,        ,8833,5595,952,2437,38111,1400,15597,4013,2634,12647,,,,,,,,,,,,,,,,,,,
31,3425,        ,12303,        ,805,        ,21915,1232,        ,2101,        ,11654,,,,,,,,,,,,,,,,,,,
Min ,753,1108,492,2031,602,1021,690,1232,777,957,1171,672,492,,,,,,,,,,,,,,,,,,
Mean,6074,6183,1955,9987,1449,3669,7266,10104,4886,5518,4891,9246,5935,,,,,,,,,,,,,,,,,,
Max ,41619,46386,12303,48079,4861,17781,38111,52186,27642,48515,22963,80861,80861,,,,,,,,,,,,,,,,,,
Daily means        Year 1992                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,5154,1520,1472,1212,948,1021,914,16009,3195,3191,1042,3450,,,,,,,,,,,,,,,,,,,
2,3325,2463,1246,23218,962,875,886,5770,25325,2680,889,3736,,,,,,,,,,,,,,,,,,,
3,2458,1364,1099,6044,1553,793,25058,26662,9952,2613,1343,2517,,,,,,,,,,,,,,,,,,,
4,1912,1233,950,4229,996,717,5803,8993,6104,2079,10296,6315,,,,,,,,,,,,,,,,,,,
5,1505,33570,831,5571,823,664,7893,6190,4773,1812,14505,6238,,,,,,,,,,,,,,,,,,,
6,1248,12595,738,4285,727,751,13230,3733,9663,1622,2747,2659,,,,,,,,,,,,,,,,,,,
7,1674,4802,647,2920,733,6266,11503,3293,7523,1463,1734,1824,,,,,,,,,,,,,,,,,,,
8,2008,3299,1642,2255,935,2834,25847,3781,5186,2227,2855,1381,,,,,,,,,,,,,,,,,,,
9,9681,2481,3445,11601,866,11850,10227,30558,8693,1740,2022,1107,,,,,,,,,,,,,,,,,,,
10,3444,1988,1127,4268,1271,9132,7974,6828,24668,1360,1387,25518,,,,,,,,,,,,,,,,,,,
11,2007,1617,879,2852,923,7352,4430,5428,10561,1233,1093,18561,,,,,,,,,,,,,,,,,,,
12,1583,1390,902,2360,2887,19562,3275,25826,6519,8007,911,6206,,,,,,,,,,,,,,,,,,,
13,2026,1177,1647,2011,1448,21579,2718,9619,4472,5892,787,5097,,,,,,,,,,,,,,,,,,,
14,9840,2169,809,1630,1263,20353,3727,23933,3364,12264,696,2947,,,,,,,,,,,,,,,,,,,
15,2501,53511,9656,1385,9893,10554,13310,46692,2753,65990,760,2176,,,,,,,,,,,,,,,,,,,
16,1679,15321,65837,1210,2917,9006,9134,14452,4256,32476,850,1729,,,,,,,,,,,,,,,,,,,
17,4720,4915,16861,1058,1967,8346,3954,7486,13861,13918,1147,1446,,,,,,,,,,,,,,,,,,,
18,4671,3070,5872,956,1478,7671,2749,4743,12921,7099,801,1235,,,,,,,,,,,,,,,,,,,
19,2095,2337,16614,880,1223,5031,2023,8145,12426,4142,717,1171,,,,,,,,,,,,,,,,,,,
20,1582,2467,6132,793,6518,5057,5630,6982,7804,2761,672,1096,,,,,,,,,,,,,,,,,,,
21,1296,12746,43805,712,2743,3284,4631,10486,5311,2163,624,1091,,,,,,,,,,,,,,,,,,,
22,1098,5781,25943,660,1797,2547,42803,5061,3955,2432,616,873,,,,,,,,,,,,,,,,,,,
23,964,2984,6865,616,1419,2183,15163,3562,33203,4446,897,903,,,,,,,,,,,,,,,,,,,
24,885,14818,4011,573,1206,2016,12329,2699,46141,2912,1159,1941,,,,,,,,,,,,,,,,,,,
25,8638,20676,2835,548,1045,1808,4963,3137,16157,4636,2065,1861,,,,,,,,,,,,,,,,,,,
26,46921,4522,2146,2254,957,1833,18588,3360,32073,3682,1549,1046,,,,,,,,,,,,,,,,,,,
27,8279,2997,1665,11382,890,1429,7586,6003,10851,3046,4550,16597,,,,,,,,,,,,,,,,,,,
28,4035,2380,1369,2105,1379,1406,7406,3041,9248,2303,2389,12155,,,,,,,,,,,,,,,,,,,
29,3318,1793,2716,1410,2388,1152,9220,2527,6657,1768,1107,10680,,,,,,,,,,,,,,,,,,,
30,2509,        ,4171,1103,1855,1045,25335,2168,4632,1447,3499,30046,,,,,,,,,,,,,,,,,,,
31,1849,        ,1572,        ,1254,        ,27717,1852,        ,1217,        ,7237,,,,,,,,,,,,,,,,,,,
Min ,885,1177,647,548,727,664,886,1852,2753,1217,616,873,548,,,,,,,,,,,,,,,,,,
Mean,4674,7655,7597,3403,1847,5604,10839,9968,11742,6601,2190,5833,6498,,,,,,,,,,,,,,,,,,
Max ,46921,53511,65837,23218,9893,21579,42803,46692,46141,65990,14505,30046,65990,,,,,,,,,,,,,,,,,,
Daily means        Year 1993                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,3906,13402,1170,7281,1470,693,2606,1033,950,941,5448,2120,,,,,,,,,,,,,,,,,,,
2,2904,10168,1091,2762,1736,4296,2108,1495,902,848,1732,15096,,,,,,,,,,,,,,,,,,,
3,3289,4242,919,1555,1160,1214,1763,12701,870,768,1292,41626,,,,,,,,,,,,,,,,,,,
4,3050,2784,903,1204,2485,1111,1515,7619,3767,717,1108,9007,,,,,,,,,,,,,,,,,,,
5,2746,13245,1289,1404,1729,1492,1325,3799,24641,671,974,4243,,,,,,,,,,,,,,,,,,,
6,3431,10324,863,6107,1511,6081,1468,2343,11193,34237,1078,5931,,,,,,,,,,,,,,,,,,,
7,2644,3593,717,5311,1368,12649,2135,1762,6013,45714,1465,11054,,,,,,,,,,,,,,,,,,,
8,5923,2438,646,6756,1046,23337,1687,1507,4222,15086,3460,4637,,,,,,,,,,,,,,,,,,,
9,2413,1777,588,13597,986,10375,1486,1336,2986,5376,2489,3100,,,,,,,,,,,,,,,,,,,
10,1798,1507,550,19093,32546,4498,1206,1833,2083,4112,1219,2333,,,,,,,,,,,,,,,,,,,
11,3328,1340,514,6209,33705,3611,1079,2683,1786,18341,1047,1838,,,,,,,,,,,,,,,,,,,
12,1790,1194,1715,3525,21749,3481,999,1575,27375,6976,2239,1446,,,,,,,,,,,,,,,,,,,
13,14439,1053,4331,2881,7836,27917,920,1218,46754,3960,1259,1216,,,,,,,,,,,,,,,,,,,
14,3504,908,1186,3841,4479,38825,860,1113,7514,3238,1096,1090,,,,,,,,,,,,,,,,,,,
15,2423,813,855,2392,3835,13650,803,23262,3901,2965,907,2738,,,,,,,,,,,,,,,,,,,
16,3796,736,714,1889,34693,5761,768,6134,2644,3441,804,1101,,,,,,,,,,,,,,,,,,,
17,1982,684,609,1535,30066,3871,726,3648,2413,2004,758,1081,,,,,,,,,,,,,,,,,,,
18,1947,630,1819,1361,7404,2874,682,6212,2317,1556,753,1892,,,,,,,,,,,,,,,,,,,
19,12793,651,1217,1250,4609,3240,645,3662,1861,3703,741,971,,,,,,,,,,,,,,,,,,,
20,3552,21966,794,1076,3301,4247,721,2871,1514,17434,70793,870,,,,,,,,,,,,,,,,,,,
21,2108,9750,7847,8654,2470,5014,721,2552,1349,7078,33042,982,,,,,,,,,,,,,,,,,,,
22,6333,3668,6069,3459,1982,9274,5674,14780,1134,25942,12897,1206,,,,,,,,,,,,,,,,,,,
23,3012,4432,1954,2721,1634,4487,1359,5102,1029,7589,5369,7772,,,,,,,,,,,,,,,,,,,
24,1877,3450,1327,1980,1403,4898,11140,2986,1069,5978,4911,6657,,,,,,,,,,,,,,,,,,,
25,1447,4112,1079,1579,1255,10602,3602,2188,1315,3627,4306,2220,,,,,,,,,,,,,,,,,,,
26,27399,2219,930,1321,1369,6963,1892,1779,3193,2636,2986,1474,,,,,,,,,,,,,,,,,,,
27,5266,1626,800,1158,1133,5375,1400,1541,2911,2023,2314,1235,,,,,,,,,,,,,,,,,,,
28,3262,1331,710,1039,1063,8169,3022,1360,1565,1632,1825,1113,,,,,,,,,,,,,,,,,,,
29,2439,        ,682,989,901,4503,1731,1212,1216,1379,5456,950,,,,,,,,,,,,,,,,,,,
30,3041,        ,772,1227,815,3353,1342,1114,1056,1205,3493,815,,,,,,,,,,,,,,,,,,,
31,2912,        ,3581,        ,752,        ,1166,1018,        ,1604,        ,1093,,,,,,,,,,,,,,,,,,,
Min ,1447,630,514,989,752,693,645,1018,870,671,741,815,514,,,,,,,,,,,,,,,,,,
Mean,4541,4430,1556,3839,6855,7862,1889,3982,5718,7509,5909,4481,4874,,,,,,,,,,,,,,,,,,
Max ,27399,21966,7847,19093,34693,38825,11140,23262,46754,45714,70793,41626,70793,,,,,,,,,,,,,,,,,,
Daily means        Year 1994                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,2018,537,356,379,512,3853,4759,3529,2223,4387,3052,1441,,,,,,,,,,,,,,,,,,,
2,3240,510,598,367,1739,2856,12300,7256,10275,3252,1591,1253,,,,,,,,,,,,,,,,,,,
3,1289,492,588,374,1778,2654,4504,11644,5132,2498,1234,1113,,,,,,,,,,,,,,,,,,,
4,1821,490,404,411,2111,2682,3135,7423,3055,4854,1052,1079,,,,,,,,,,,,,,,,,,,
5,9382,947,367,375,1093,2088,10534,4869,2283,7230,5943,971,,,,,,,,,,,,,,,,,,,
6,2578,1740,366,364,798,2027,17681,4573,1992,3391,3565,837,,,,,,,,,,,,,,,,,,,
7,1567,805,511,374,685,2656,7682,3170,10321,2613,8204,736,,,,,,,,,,,,,,,,,,,
8,1391,565,949,356,616,1918,22338,19346,6800,2151,74345,679,,,,,,,,,,,,,,,,,,,
9,1108,487,460,345,598,2262,7052,22047,4205,1823,15101,640,,,,,,,,,,,,,,,,,,,
10,2611,461,395,339,1615,8351,4263,9954,3027,3323,12492,2374,,,,,,,,,,,,,,,,,,,
11,3082,449,382,335,4048,17919,3052,4926,2395,2877,6459,1189,,,,,,,,,,,,,,,,,,,
12,1197,437,370,333,3890,34577,2351,3398,6119,7964,5160,751,,,,,,,,,,,,,,,,,,,
13,978,421,360,1326,2007,11592,1870,2999,3361,7051,4592,669,,,,,,,,,,,,,,,,,,,
14,846,411,353,1372,1482,5809,1547,7874,5993,10496,43461,630,,,,,,,,,,,,,,,,,,,
15,1034,407,376,1169,2444,3795,1306,45356,8579,5991,112282,562,,,,,,,,,,,,,,,,,,,
16,2925,402,747,587,4380,3804,1162,9193,4244,4095,43891,531,,,,,,,,,,,,,,,,,,,
17,1012,395,6305,470,2243,6745,1139,4997,3573,3030,10402,508,,,,,,,,,,,,,,,,,,,
18,775,425,2200,420,4175,3785,3538,9205,3760,4092,6731,478,,,,,,,,,,,,,,,,,,,
19,805,417,1950,434,5583,8249,1974,8286,2922,4264,6384,581,,,,,,,,,,,,,,,,,,,
20,13994,402,965,2979,12533,4527,1374,4426,2298,4183,3512,2152,,,,,,,,,,,,,,,,,,,
21,2813,447,773,19966,17672,6771,1210,3240,10344,2616,23678,2462,,,,,,,,,,,,,,,,,,,
22,1739,493,793,5953,6445,5661,30850,2587,10725,2061,98967,24695,,,,,,,,,,,,,,,,,,,
23,1233,495,589,3378,8225,3615,17267,2775,5527,1700,19479,3811,,,,,,,,,,,,,,,,,,,
24,1294,436,515,1636,9272,7294,6452,4206,5970,1447,7685,1958,,,,,,,,,,,,,,,,,,,
25,1120,405,468,1146,24709,17562,13997,2636,16774,1281,5102,2477,,,,,,,,,,,,,,,,,,,
26,961,385,499,898,20649,30382,18005,2296,15038,1185,3637,1403,,,,,,,,,,,,,,,,,,,
27,936,373,470,752,24228,9717,8307,1796,8868,1068,2751,1082,,,,,,,,,,,,,,,,,,,
28,758,363,435,672,30084,5236,8200,1511,7255,969,2155,1882,,,,,,,,,,,,,,,,,,,
29,664,        ,420,606,30075,3859,4712,1370,24946,916,1842,3772,,,,,,,,,,,,,,,,,,,
30,606,        ,408,552,9092,2869,4642,5531,6925,4167,1641,16062,,,,,,,,,,,,,,,,,,,
31,566,        ,388,        ,5562,        ,3817,3363,        ,5415,        ,28811,,,,,,,,,,,,,,,,,,,
Min ,566,363,353,333,512,1918,1139,1370,1992,916,1052,478,333,,,,,,,,,,,,,,,,,,
Mean,2140,521,799,1622,7753,7504,7452,7283,6831,3626,17880,3471,5583,,,,,,,,,,,,,,,,,,
Max ,13994,1740,6305,19966,30084,34577,30850,45356,24946,10496,112282,28811,112282,,,,,,,,,,,,,,,,,,
Daily means        Year 1995                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,4497,809,712,2501,2420,1557,8712,1641,8423,8169,8912,2719,,,,,,,,,,,,,,,,,,,
2,2580,731,648,2566,2865,4368,5327,1469,23702,7499,5335,2037,,,,,,,,,,,,,,,,,,,
3,3853,699,586,1799,2564,5812,7595,7121,8676,5185,2840,1550,,,,,,,,,,,,,,,,,,,
4,2459,654,553,1916,1947,3368,5533,11346,4961,4411,5672,1295,,,,,,,,,,,,,,,,,,,
5,1600,796,524,42958,5481,2575,6177,6946,4221,10296,17098,1123,,,,,,,,,,,,,,,,,,,
6,1253,746,500,25101,18204,1990,23728,7245,4234,8119,10816,1013,,,,,,,,,,,,,,,,,,,
7,1043,611,480,8899,6555,1657,19494,7576,13892,5212,4332,928,,,,,,,,,,,,,,,,,,,
8,936,583,468,8056,3864,1391,17113,4107,17008,3960,2971,1517,,,,,,,,,,,,,,,,,,,
9,2759,547,451,7275,2840,18750,10445,21729,10042,4744,12882,1495,,,,,,,,,,,,,,,,,,,
10,1631,532,463,5492,2196,8412,9578,15957,6289,7714,28480,986,,,,,,,,,,,,,,,,,,,
11,1026,525,15902,4634,1868,4030,6572,6411,4759,4552,8396,788,,,,,,,,,,,,,,,,,,,
12,880,488,2046,21068,3405,20445,5835,4119,4019,16034,7902,696,,,,,,,,,,,,,,,,,,,
13,784,462,21821,5929,5487,7995,9365,3165,3881,6372,4222,643,,,,,,,,,,,,,,,,,,,
14,701,453,9766,3939,2299,4604,13163,3291,5758,7700,3046,6497,,,,,,,,,,,,,,,,,,,
15,607,442,8040,2944,1794,3844,10528,2434,3600,21948,2547,1851,,,,,,,,,,,,,,,,,,,
16,558,428,15097,2302,2831,8683,6577,1971,32743,6564,1944,1056,,,,,,,,,,,,,,,,,,,
17,514,416,9520,1889,2351,3976,4609,4315,13535,4133,1543,879,,,,,,,,,,,,,,,,,,,
18,505,402,4445,1599,3134,2998,3489,17362,25064,3056,1315,1821,,,,,,,,,,,,,,,,,,,
19,670,401,6023,1394,1838,2358,3962,4972,7440,10127,1166,956,,,,,,,,,,,,,,,,,,,
20,795,562,4102,1238,1516,1906,26472,3167,4622,4004,31219,774,,,,,,,,,,,,,,,,,,,
21,547,2303,13240,1735,1325,1624,26124,3191,3391,4765,7316,702,,,,,,,,,,,,,,,,,,,
22,486,1718,5687,22957,1180,15641,16408,5463,7079,3995,4147,664,,,,,,,,,,,,,,,,,,,
23,460,4257,8157,12346,1130,5369,8174,3083,9158,2780,2853,3384,,,,,,,,,,,,,,,,,,,
24,450,3082,4027,4396,1000,3263,5373,35164,3782,2322,2238,12351,,,,,,,,,,,,,,,,,,,
25,425,4388,2839,3340,910,2412,3810,13217,5632,1951,10080,2446,,,,,,,,,,,,,,,,,,,
26,417,1408,4241,4022,847,6444,5796,6414,26403,1629,22919,1718,,,,,,,,,,,,,,,,,,,
27,3071,925,5222,6377,798,33415,5713,4561,20532,1359,21000,1262,,,,,,,,,,,,,,,,,,,
28,17097,759,3523,3285,1688,14597,3572,5740,6370,1232,8099,1067,,,,,,,,,,,,,,,,,,,
29,2155,        ,2466,2453,8381,23061,2788,7544,4379,1116,4398,6767,,,,,,,,,,,,,,,,,,,
30,1273,        ,2966,1994,2767,11768,2271,4206,3515,984,3026,2048,,,,,,,,,,,,,,,,,,,
31,962,        ,2222,        ,1908,        ,1912,3393,        ,2080,        ,1406,,,,,,,,,,,,,,,,,,,
Min ,417,401,451,1238,798,1391,1912,1469,3391,984,1166,643,401,,,,,,,,,,,,,,,,,,
Mean,1839,1076,5056,7213,3142,7610,9233,7365,9904,5613,8290,2079,5712,,,,,,,,,,,,,,,,,,
Max ,17097,4388,21821,42958,18204,33415,26472,35164,32743,21948,31219,12351,42958,,,,,,,,,,,,,,,,,,
Daily means        Year 1996                    Stage (mm) at Mangatainoka at Larsons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,1173,533,795,1746,1950,7773,13262,2365,2204,2589,1159,4630,,,,,,,,,,,,,,,,,,,
2,973,476,725,8361,1329,4682,7607,12442,1812,24676,1040,3497,,,,,,,,,,,,,,,,,,,
3,822,3475,3002,7218,1067,3487,6265,18665,3204,13872,939,31098,,,,,,,,,,,,,,,,,,,
