"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.2008.22.June",2008-06-22,3967,3393,3474,NA,1618,4456,7003,4590,NA,3434,3291,4755,2907,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.23.June",2008-06-23,3929,6331,4281,NA,1676,6074,6837,138,NA,6218,4814,888,2978,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.24.June",2008-06-24,4511,110,6391,NA,3005,482,7732,3297,NA,2227,393,3160,3998,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.25.June",2008-06-25,5369,260,6411,NA,4633,1277,1985,2207,NA,2651,808,3426,5604,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.26.June",2008-06-26,1701,2900,7247,NA,6506,3032,3294,4905,NA,3866,1354,6624,6648,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.27.June",2008-06-27,957,2140,6810,NA,6276,2623,3127,5059,NA,2985,2565,5577,6048,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.28.June",2008-06-28,1417,2979,1514,NA,7177,3700,4715,5817,NA,3676,1597,7132,768,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.29.June",2008-06-29,3943,2193,1714,NA,884,4297,6269,5140,NA,5263,930,6125,2313,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.30.June",2008-06-30,2555,2518,144,NA,412,3855,6077,4345,NA,2997,7785,6003,1453,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.1.June",2009-06-01,5405,4977,4042,NA,896,5515,6983,4736,NA,4132,1074,118,3473,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.2.June",2009-06-02,5389,4728,4230,NA,1463,5446,7092,4481,NA,3742,667,7594,3567,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.3.June",2009-06-03,5397,4322,3718,NA,1160,5195,6531,4226,NA,3164,197,7190,3034,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.4.June",2009-06-04,5321,3908,3458,NA,817,4766,6046,3984,NA,2793,7677,6873,2645,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.5.June",2009-06-05,5250,3732,3392,NA,479,4487,5698,3886,NA,2824,7574,6628,2399,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.6.June",2009-06-06,5128,3399,3272,NA,429,4377,5593,3723,NA,3114,7312,6412,2233,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.7.June",2009-06-07,4850,2951,2990,NA,392,4110,5392,3471,NA,2408,6907,6027,1891,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.8.June",2009-06-08,4649,2655,2876,NA,7762,3738,5001,3335,NA,2059,6691,5691,1574,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.9.June",2009-06-09,4483,2461,2797,NA,7567,3495,4779,3270,NA,1855,6583,5463,1400,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.10.June",2009-06-10,4299,3257,3093,NA,7637,3563,4724,3733,NA,2642,805,5704,1506,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.11.June",2009-06-11,4028,4725,3211,NA,251,4262,5021,4433,NA,2570,1451,7227,1863,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.12.June",2009-06-12,3916,5012,3080,NA,7636,4454,4778,4593,NA,2890,4160,7265,1504,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.13.June",2009-06-13,4141,1712,6263,NA,2103,340,1307,2330,NA,7611,1133,4333,5858,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.14.June",2009-06-14,3837,540,5347,NA,3844,1644,2052,1111,NA,6324,5374,3894,5345,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.15.June",2009-06-15,3642,6798,4290,NA,2425,12,511,6967,NA,5066,3380,2225,4144,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.16.June",2009-06-16,3881,5991,4021,NA,2584,6918,18,6222,NA,6335,2964,1353,3770,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.17.June",2009-06-17,3837,5849,3896,NA,3542,6965,1292,5419,NA,6037,2159,1052,3682,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.18.June",2009-06-18,3665,5546,3644,NA,2669,6517,286,4772,NA,5078,1574,633,3062,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.19.June",2009-06-19,3511,5049,3387,NA,2005,5994,7440,4417,NA,4391,1050,185,2685,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.20.June",2009-06-20,3434,4741,3518,NA,1581,5554,6983,4170,NA,4028,763,7619,2555,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.21.June",2009-06-21,3342,4451,3575,NA,1447,5334,6990,3939,NA,3605,343,7341,2647,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.22.June",2009-06-22,3239,4015,3446,NA,1128,5123,6573,3735,NA,3146,7758,6938,2340,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.23.June",2009-06-23,3181,3735,3439,NA,912,4847,6328,3584,NA,2793,7453,6642,2242,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.24.June",2009-06-24,3097,3392,3236,NA,673,4627,6055,3452,NA,2447,7192,6353,1968,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.25.June",2009-06-25,3114,3153,3100,NA,396,4398,5740,3350,NA,2089,6942,6086,1737,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.26.June",2009-06-26,3181,3121,3052,NA,397,4403,5555,3395,NA,5250,2436,5910,1612,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.27.June",2009-06-27,3381,3835,3481,NA,3341,6699,954,5677,NA,1975,3093,7379,6327,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.28.June",2009-06-28,5241,4206,93,NA,3375,6650,634,6101,NA,3352,5504,7604,6941,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.29.June",2009-06-29,2033,3796,5133,NA,2992,5138,2567,3930,NA,5243,3230,6474,7198,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.30.June",2009-06-30,1669,2144,2922,NA,2572,5008,1746,1357,NA,2516,39,4951,5371,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.1.June",2010-06-01,5642,5668,5381,NA,4949,7746,2823,5649,NA,6123,2947,604,6594,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.2.June",2010-06-02,7403,1142,7269,NA,6483,1096,5361,2969,NA,335,1236,3610,828,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.3.June",2010-06-03,7114,508,6154,NA,6450,1725,4643,1830,NA,7655,5419,3749,7688,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.4.June",2010-06-04,6133,6787,5191,NA,5162,526,3274,11,NA,6417,3600,2143,6664,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.5.June",2010-06-05,5835,5804,4654,NA,4198,7327,2182,6816,NA,5486,2500,1189,5920,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.6.June",2010-06-06,5642,250,5063,NA,3740,6945,1756,7580,NA,6515,1271,1637,5772,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.7.June",2010-06-07,5855,3948,527,NA,4450,2710,2403,4790,NA,1368,2721,6859,6647,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.8.June",2010-06-08,6090,1791,6820,NA,4997,2493,2671,3247,NA,716,7033,5267,6512,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.9.June",2010-06-09,6146,330,5542,NA,4430,992,2134,1310,NA,6791,4922,3632,5804,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.10.June",2010-06-10,5893,7027,4854,NA,3650,107,1355,7804,NA,5736,3820,2638,5299,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.11.June",2010-06-11,5714,7566,4834,NA,3339,7507,1202,421,NA,5612,6390,2816,5323,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.12.June",2010-06-12,5707,227,6179,NA,3253,236,1067,1925,NA,5639,832,3534,5190,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.13.June",2010-06-13,6075,2088,6292,NA,3798,2049,1122,5733,NA,189,2660,5938,5489,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.14.June",2010-06-14,6545,1210,6032,NA,4214,1959,1416,3663,NA,149,6867,4995,5550,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.15.June",2010-06-15,6667,146,5342,NA,4432,983,1836,1672,NA,7489,5048,3580,5455,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.16.June",2010-06-16,6377,7239,4876,NA,3783,271,1180,617,NA,6309,3920,2902,5041,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.17.June",2010-06-17,6011,6469,4581,NA,3217,7415,649,486,NA,5519,3316,2196,4751,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.18.June",2010-06-18,5719,5805,4296,NA,2761,7050,219,761,NA,4820,2903,1799,4523,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.19.June",2010-06-19,5544,5118,4036,NA,2418,6499,7672,7418,NA,4325,1879,1237,4337,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.20.June",2010-06-20,5960,1645,7057,NA,4442,373,2513,2884,NA,1701,1507,3917,7798,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.21.June",2010-06-21,5941,2367,7749,NA,6113,3249,3560,3648,NA,1769,7590,6029,7712,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.22.June",2010-06-22,5813,568,6246,NA,4749,1808,2188,1626,NA,7651,4900,4173,6476,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.23.June",2010-06-23,5652,7073,5262,NA,3957,529,1402,705,NA,6583,3502,2967,5767,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.24.June",2010-06-24,5486,6519,5541,NA,3577,7608,1349,77,NA,6056,3084,2252,6349,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.25.June",2010-06-25,5571,6751,6167,NA,6951,1143,6051,7216,NA,54,3684,2175,2806,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.26.June",2010-06-26,7773,738,3357,NA,1822,3139,1286,7412,NA,1661,6181,2926,5636,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.27.June",2010-06-27,3077,2303,3273,NA,1531,4737,7301,1186,NA,4300,5952,4807,2980,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.28.June",2010-06-28,1400,433,461,NA,7063,3277,4799,198,NA,2002,3838,3503,976,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.29.June",2010-06-29,1882,162,270,NA,7160,2810,4810,3125,NA,3502,7190,3810,1257,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.30.June",2010-06-30,827,7102,6771,NA,6108,2026,3654,1575,NA,1415,4414,3261,7718,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.1.June",2011-06-01,2736,4859,3389,NA,375,5104,5049,7103,NA,3146,2132,986,1625,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.2.June",2011-06-02,2614,4341,3266,NA,166,4666,4871,6507,NA,2681,1451,320,1460,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.3.June",2011-06-03,2392,3956,3325,NA,97,4392,4854,6122,NA,2447,972,7648,1513,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.4.June",2011-06-04,2262,3647,3236,NA,36,4184,4858,5825,NA,2136,535,7281,1501,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.5.June",2011-06-05,2136,3510,3221,NA,7787,4052,4844,5713,NA,2100,3283,7062,1590,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.6.June",2011-06-06,2071,4355,3655,NA,7696,4663,4802,7707,NA,2726,4966,666,1478,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.7.June",2011-06-07,1986,4396,3494,NA,7606,4962,4675,143,NA,4056,5864,1154,1423,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.8.June",2011-06-08,1948,5018,4518,NA,164,5903,4720,1792,NA,6530,5624,1840,1596,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.9.June",2011-06-09,1752,4677,3980,NA,114,5773,4792,620,NA,5250,3675,1464,1490,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.10.June",2011-06-10,2198,5926,5143,NA,493,5843,4920,775,NA,1226,7774,987,2529,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.11.June",2011-06-11,2707,1551,6889,NA,3263,1580,519,4758,NA,1708,1105,5540,5279,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.12.June",2011-06-12,2824,1817,7260,NA,3878,2528,602,4827,NA,2371,7710,5937,5103,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.13.June",2011-06-13,2598,7649,5303,NA,3209,977,102,2277,NA,7797,5103,3992,4237,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.14.June",2011-06-14,2508,6416,4539,NA,2321,7422,6926,936,NA,6714,3748,2748,3518,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.15.June",2011-06-15,2526,5533,4096,NA,1894,6567,6382,274,NA,5835,2727,1875,3030,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.16.June",2011-06-16,2447,4817,3805,NA,1520,5867,5934,7437,NA,4986,1891,1018,2668,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.17.June",2011-06-17,2466,4357,3626,NA,1230,5336,5625,6964,NA,4383,1263,393,2424,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.18.June",2011-06-18,2429,4411,3862,NA,1249,5198,5711,7057,NA,4426,1934,182,2750,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.19.June",2011-06-19,2317,4877,3956,NA,1378,5471,6193,7111,NA,4325,6462,852,3075,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.20.June",2011-06-20,2173,6833,4120,NA,1474,6458,6063,919,NA,4588,216,3576,2946,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.21.June",2011-06-21,1915,5931,3703,NA,1093,6142,5631,57,NA,3916,4701,2553,2530,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.22.June",2011-06-22,1878,5139,3697,NA,860,5534,5316,7452,NA,3673,3991,1455,2293,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.23.June",2011-06-23,2008,4696,3728,NA,733,5705,5192,1040,NA,4624,4622,1229,2242,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.24.June",2011-06-24,2583,5374,4310,NA,1452,7323,6000,4000,NA,6942,7659,2954,3103,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.25.June",2011-06-25,3181,6002,6173,NA,2374,7444,7462,2232,NA,7436,5527,2960,3928,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.26.June",2011-06-26,3146,5603,4912,NA,2275,7286,7223,1157,NA,6317,4017,2278,3573,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.27.June",2011-06-27,3146,5088,4552,NA,1758,6566,6657,138,NA,5633,3041,1508,3243,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.28.June",2011-06-28,3226,4650,4556,NA,1601,6388,6332,259,NA,5818,2312,962,3034,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.29.June",2011-06-29,3275,5006,6958,NA,5747,7448,5653,7531,NA,6212,2723,742,3478,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.30.June",2011-06-30,3210,5220,6163,NA,6498,1293,4563,7048,NA,5824,2170,761,509,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.1.June",2012-06-01,7734,1796,3701,NA,7007,3414,5143,3820,NA,454,7413,5187,1612,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.2.June",2012-06-02,7772,1632,3574,NA,6848,3224,4979,3653,NA,75,7083,4954,1470,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.3.June",2012-06-03,194,1662,3575,NA,6759,3591,4884,7104,NA,40,1660,4974,1377,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.4.June",2012-06-04,153,1568,3818,NA,7399,4713,5286,53,NA,2948,1115,6157,2017,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.5.June",2012-06-05,153,1451,3606,NA,7282,4069,5287,6280,NA,1532,2142,5538,1685,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.6.June",2012-06-06,695,7088,4926,NA,7640,5271,5338,2523,NA,5564,29,1456,2227,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.7.June",2012-06-07,1109,614,5723,NA,2360,1101,7742,2703,NA,858,5622,4555,4405,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.8.June",2012-06-08,897,6585,4792,NA,2001,7679,7285,849,NA,6843,4362,2574,3398,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.9.June",2012-06-09,752,6141,5165,NA,1319,6930,6602,130,NA,6075,4514,2075,3098,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.10.June",2012-06-10,663,6057,5171,NA,1683,6682,7176,6865,NA,5776,3932,1874,4399,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.11.June",2012-06-11,777,5228,4987,NA,2028,6372,6898,6303,NA,6338,2657,1174,3818,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.12.June",2012-06-12,641,4637,4835,NA,2162,6099,7485,5914,NA,5754,1901,500,4440,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.13.June",2012-06-13,720,4586,4503,NA,1742,5641,7022,5390,NA,4698,1322,88,3675,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.14.June",2012-06-14,752,4083,4213,NA,1247,5194,6579,5012,NA,3993,791,7424,3227,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.15.June",2012-06-15,720,3730,3970,NA,943,4828,6293,4736,NA,3434,378,6985,2845,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.16.June",2012-06-16,833,3693,4938,NA,1060,4833,7028,4521,NA,3694,312,6746,3998,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.17.June",2012-06-17,777,3647,4452,NA,1868,5339,7673,4270,NA,3164,7715,6720,3715,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.18.June",2012-06-18,897,3340,4128,NA,1076,4896,6767,3989,NA,2736,7468,6363,3186,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.19.June",2012-06-19,944,3535,4131,NA,1064,4726,6988,4150,NA,2793,760,6405,3392,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.20.June",2012-06-20,4511,7165,6187,NA,3006,7754,7663,3710,NA,2078,211,3173,4386,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.21.June",2012-06-21,3511,985,532,NA,4924,2334,2229,3222,NA,2691,6982,4536,7029,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.22.June",2012-06-22,3072,7441,5828,NA,3814,1391,1116,847,NA,96,4570,3461,5365,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.23.June",2012-06-23,3210,6261,4917,NA,2915,7624,254,7249,NA,6986,3645,2203,4466,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.24.June",2012-06-24,3642,1301,4846,NA,2910,1255,7765,4754,NA,79,2164,5363,4127,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.25.June",2012-06-25,4328,424,4570,NA,3234,581,352,2415,NA,7722,162,4293,3985,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.26.June",2012-06-26,5544,1595,4786,NA,4090,1069,627,2762,NA,1025,1351,5169,4084,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.27.June",2012-06-27,6526,941,4728,NA,4729,1405,1466,1721,NA,988,6874,4594,4705,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.28.June",2012-06-28,6545,85,4512,NA,5393,1102,2249,810,NA,447,5919,3899,5358,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.29.June",2012-06-29,6262,6756,4252,NA,4318,41,1337,7386,NA,6878,4378,2725,4269,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.30.June",2012-06-30,6095,5977,3,NA,3523,7047,580,6641,NA,6044,3420,3,3672,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.1.June",2013-06-01,3566,4105,3722,NA,174,4845,4972,5725,NA,3455,3256,6293,367,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.2.June",2013-06-02,3742,5617,4911,NA,7703,5687,4691,1380,NA,3018,7381,781,366,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.3.June",2013-06-03,3665,5833,4842,NA,7391,6902,4493,1831,NA,2262,4751,1681,535,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.4.June",2013-06-04,4080,5035,4100,NA,7211,5839,4301,188,NA,4141,3581,116,323,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.5.June",2013-06-05,7110,1872,1353,NA,5107,1185,2627,1315,NA,2247,7188,3312,6772,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.6.June",2013-06-06,6133,442,6361,NA,5111,1720,2556,306,NA,7729,4956,2871,5765,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.7.June",2013-06-07,6259,6796,5367,NA,4014,207,1401,7105,NA,6681,3808,1360,4659,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.8.June",2013-06-08,5818,5808,4532,NA,3118,7053,493,6493,NA,5700,2923,372,3735,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.9.June",2013-06-09,5690,5055,4004,NA,2329,6281,7481,5869,NA,4890,2247,7429,3010,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.10.June",2013-06-10,5679,4569,4271,NA,2081,5829,7510,5403,NA,4910,1786,6800,3649,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.11.June",2013-06-11,7262,4531,769,NA,4480,6894,3192,5232,NA,7397,1995,6433,6707,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.12.June",2013-06-12,504,4873,7630,NA,5892,491,4103,5340,NA,7501,1944,6623,7751,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.13.June",2013-06-13,7200,4500,5783,NA,5320,176,3110,4920,NA,6547,1381,6332,6144,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.14.June",2013-06-14,5953,4047,4837,NA,4153,6924,1784,4644,NA,5679,967,5900,4809,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.15.June",2013-06-15,5652,3707,4334,NA,3276,6194,886,4355,NA,4950,613,5507,4059,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.16.June",2013-06-16,5667,4438,5239,NA,2803,5887,459,4861,NA,7119,5386,5492,4338,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.17.June",2013-06-17,6174,4082,1364,NA,7294,3332,5950,3778,NA,2261,2380,6549,1904,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.18.June",2013-06-18,6169,3053,7432,NA,6191,3463,4118,5317,NA,1095,2569,6053,6856,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.19.June",2013-06-19,5911,1834,6038,NA,4943,2540,2771,2772,NA,7525,6973,4868,5593,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.20.June",2013-06-20,5830,1500,5565,NA,4208,1634,1886,4294,NA,7709,727,4235,4872,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.21.June",2013-06-21,5675,2208,5827,NA,3602,2055,1118,4049,NA,129,7643,4992,4279,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.22.June",2013-06-22,5714,1013,6208,NA,3388,1560,814,2032,NA,957,5744,3640,3960,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.23.June",2013-06-23,178,680,1053,NA,5790,2620,3456,1552,NA,2320,5074,3212,452,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.24.June",2013-06-24,7011,7457,6562,NA,5119,2122,2568,583,NA,463,4030,2354,6373,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.25.June",2013-06-25,6446,6477,5422,NA,4046,636,1422,7538,NA,7143,3211,1424,5168,NA,NA,NA,NA
